ticket_id,created_date,created_time,closed_date,closed_time,status,priority,category,error_code
1001,1/1/2025,9:11:00 AM,,,Open,High,Network,NET_500
1002,1/1/2025,9:46:00 AM,,,Open,Medium,Login,AUTH_404
1003,1/1/2025,12:30:00 PM,1/1/2025,7:55:00 PM,Closed,Low,Payment,PAY_409
1004,1/2/2025,8:21:00 AM,,,In Progress,Medium,Payment,PAY_502
1005,1/2/2025,8:58:00 AM,,,In Progress,Medium,Payment,PAY_409
1006,1/2/2025,10:40:00 AM,1/2/2025,11:15:00 AM,Closed,High,Network,NET_408
1007,1/2/2025,12:12:00 PM,1/2/2025,5:13:00 PM,Closed,Low,Payment,PAY_401
1008,1/2/2025,1:13:00 PM,1/2/2025,3:18:00 PM,Closed,High,Login,AUTH_429
1009,1/2/2025,3:39:00 PM,,,Open,Medium,Payment,PAY_502
1010,1/2/2025,3:54:00 PM,1/2/2025,6:22:00 PM,Closed,High,Login,AUTH_403
1011,1/2/2025,4:30:00 PM,1/2/2025,5:28:00 PM,Closed,High,Network,NET_429
1012,1/2/2025,5:20:00 PM,1/2/2025,10:50:00 PM,Closed,Low,Login,AUTH_429
1013,1/3/2025,8:52:00 AM,,,In Progress,Low,Network,NET_503
1014,1/3/2025,12:55:00 PM,,,Open,Low,Payment,PAY_504
1015,1/3/2025,1:37:00 PM,,,Open,Medium,Login,AUTH_404
1016,1/3/2025,7:41:00 PM,1/3/2025,11:59:00 PM,Closed,Medium,Payment,PAY_500
1017,1/3/2025,7:59:00 PM,1/3/2025,11:49:00 PM,Closed,Medium,Reporting,REP_500
1018,1/4/2025,8:32:00 AM,1/4/2025,3:01:00 PM,Closed,Medium,Login,AUTH_404
1019,1/4/2025,8:47:00 AM,1/4/2025,11:27:00 AM,Closed,Medium,Network,NET_408
1020,1/4/2025,4:22:00 PM,,,Open,Medium,General,GEN_300
1021,1/6/2025,8:14:00 AM,,,In Progress,High,Payment,PAY_502
1022,1/6/2025,9:35:00 AM,,,Open,Medium,Account,ACC_500
1023,1/6/2025,10:50:00 AM,,,Open,Low,Account,ACC_404
1024,1/6/2025,11:50:00 AM,,,In Progress,High,Login,AUTH_401
1025,1/6/2025,12:00:00 PM,,,Open,Medium,Login,AUTH_500
1026,1/6/2025,2:46:00 PM,,,In Progress,High,Account,ACC_400
1027,1/6/2025,3:40:00 PM,,,Open,Medium,Network,NET_500
1028,1/6/2025,4:04:00 PM,1/6/2025,6:26:00 PM,Closed,Medium,Login,AUTH_401
1029,1/6/2025,5:00:00 PM,1/6/2025,11:56:00 PM,Closed,Medium,Login,AUTH_401
1030,1/6/2025,5:13:00 PM,,,Open,Low,Payment,PAY_401
1031,1/6/2025,5:23:00 PM,,,In Progress,High,Network,NET_408
1032,1/6/2025,5:34:00 PM,,,In Progress,Medium,General,GEN_200
1033,1/6/2025,6:54:00 PM,1/6/2025,10:46:00 PM,Closed,Medium,Reporting,REP_500
1034,1/6/2025,7:30:00 PM,,,In Progress,Medium,Payment,PAY_409
1035,1/7/2025,10:03:00 AM,1/7/2025,2:44:00 PM,Closed,Medium,Network,NET_500
1036,1/7/2025,10:23:00 AM,1/7/2025,1:20:00 PM,Closed,Medium,Payment,PAY_504
1037,1/7/2025,11:17:00 AM,,,In Progress,Medium,Payment,PAY_401
1038,1/7/2025,11:20:00 AM,1/7/2025,7:03:00 PM,Closed,Medium,Account,ACC_401
1039,1/7/2025,4:30:00 PM,1/7/2025,5:59:00 PM,Closed,Medium,Login,AUTH_401
1040,1/7/2025,6:08:00 PM,1/7/2025,6:59:00 PM,Closed,High,Login,AUTH_404
1041,1/8/2025,8:08:00 AM,,,Open,High,General,GEN_200
1042,1/8/2025,8:53:00 AM,,,In Progress,Medium,General,GEN_100
1043,1/8/2025,9:38:00 AM,,,Open,High,General,GEN_200
1044,1/8/2025,9:59:00 AM,1/8/2025,1:09:00 PM,Closed,Medium,Network,NET_502
1045,1/8/2025,10:10:00 AM,1/8/2025,5:03:00 PM,Closed,Medium,Payment,PAY_504
1046,1/8/2025,10:31:00 AM,,,In Progress,Medium,General,GEN_300
1047,1/8/2025,11:27:00 AM,,,Open,Medium,Login,AUTH_500
1048,1/8/2025,11:52:00 AM,,,Open,Low,Network,NET_503
1049,1/8/2025,2:43:00 PM,,,In Progress,Medium,Network,NET_503
1050,1/8/2025,6:58:00 PM,,,In Progress,Medium,Payment,PAY_400
1051,1/8/2025,7:12:00 PM,,,In Progress,Low,Payment,PAY_502
1052,1/9/2025,8:36:00 AM,,,Open,Low,Reporting,REP_400
1053,1/9/2025,9:38:00 AM,,,In Progress,Medium,Payment,PAY_401
1054,1/9/2025,11:00:00 AM,1/9/2025,10:25:00 PM,Closed,Low,Network,NET_429
1055,1/9/2025,12:39:00 PM,,,Open,Medium,Login,AUTH_401
1056,1/9/2025,1:01:00 PM,,,In Progress,Medium,Payment,PAY_401
1057,1/9/2025,1:48:00 PM,1/9/2025,11:32:00 PM,Closed,Low,Account,ACC_409
1058,1/9/2025,4:16:00 PM,1/9/2025,10:06:00 PM,Closed,Medium,Network,NET_502
1059,1/9/2025,4:37:00 PM,1/9/2025,5:23:00 PM,Closed,High,Account,ACC_404
1060,1/9/2025,6:06:00 PM,,,Open,Medium,Network,NET_429
1061,1/10/2025,8:53:00 AM,,,Open,Low,Login,AUTH_429
1062,1/10/2025,1:04:00 PM,,,Open,High,General,GEN_500
1063,1/10/2025,1:41:00 PM,,,Open,Medium,Login,AUTH_500
1064,1/10/2025,3:23:00 PM,,,Open,Medium,Reporting,REP_500
1065,1/10/2025,7:21:00 PM,,,Open,Medium,Login,AUTH_500
1066,1/10/2025,7:31:00 PM,,,In Progress,High,Payment,PAY_409
1067,1/11/2025,8:57:00 AM,,,Open,Medium,Login,AUTH_401
1068,1/11/2025,4:32:00 PM,1/11/2025,8:13:00 PM,Closed,Medium,General,GEN_300
1069,1/11/2025,6:33:00 PM,,,Open,Medium,Login,AUTH_403
1070,1/11/2025,6:40:00 PM,,,Open,Low,Login,AUTH_429
1071,1/12/2025,8:46:00 AM,1/12/2025,7:57:00 PM,Closed,Low,Payment,PAY_400
1072,1/12/2025,9:33:00 AM,,,Open,Medium,Network,NET_503
1073,1/12/2025,11:23:00 AM,,,Open,Medium,Account,ACC_404
1074,1/12/2025,3:32:00 PM,1/12/2025,11:59:00 PM,Closed,Low,Network,NET_429
1075,1/13/2025,10:39:00 AM,1/13/2025,1:56:00 PM,Closed,Medium,Account,ACC_401
1076,1/13/2025,2:19:00 PM,,,Open,Medium,Payment,PAY_502
1077,1/13/2025,3:54:00 PM,1/13/2025,5:29:00 PM,Closed,High,Payment,PAY_401
1078,1/13/2025,5:04:00 PM,,,Open,Low,Login,AUTH_403
1079,1/13/2025,7:03:00 PM,1/13/2025,9:26:00 PM,Closed,Medium,Login,AUTH_500
1080,1/13/2025,7:14:00 PM,,,In Progress,High,Reporting,REP_400
1081,1/13/2025,7:29:00 PM,1/13/2025,9:22:00 PM,Closed,High,Login,AUTH_429
1082,1/13/2025,7:30:00 PM,,,Open,Low,Login,AUTH_500
1083,1/14/2025,9:01:00 AM,1/14/2025,12:27:00 PM,Closed,Medium,Account,ACC_409
1084,1/14/2025,11:36:00 AM,,,Open,Low,Payment,PAY_504
1085,1/14/2025,12:32:00 PM,,,In Progress,Medium,Reporting,REP_404
1086,1/14/2025,12:38:00 PM,,,Open,Medium,General,GEN_100
1087,1/14/2025,2:08:00 PM,1/14/2025,5:01:00 PM,Closed,Medium,Network,NET_408
1088,1/14/2025,4:44:00 PM,1/14/2025,11:59:00 PM,Closed,Low,Payment,PAY_504
1089,1/14/2025,5:55:00 PM,,,In Progress,Medium,Payment,PAY_402
1090,1/14/2025,7:34:00 PM,1/14/2025,10:13:00 PM,Closed,High,Payment,PAY_500
1091,1/15/2025,8:28:00 AM,,,Open,Low,Payment,PAY_400
1092,1/15/2025,10:47:00 AM,1/15/2025,4:17:00 PM,Closed,Medium,Account,ACC_409
1093,1/15/2025,10:49:00 AM,,,In Progress,Medium,Login,AUTH_429
1094,1/15/2025,10:53:00 AM,1/15/2025,12:01:00 PM,Closed,Medium,Network,NET_500
1095,1/15/2025,11:13:00 AM,,,In Progress,Medium,Login,AUTH_429
1096,1/15/2025,2:32:00 PM,1/15/2025,2:47:00 PM,Closed,High,Payment,PAY_402
1097,1/15/2025,4:36:00 PM,,,Open,Low,Network,NET_408
1098,1/15/2025,4:38:00 PM,,,In Progress,Medium,Payment,PAY_401
1099,1/15/2025,6:33:00 PM,,,Open,Low,Payment,PAY_500
1100,1/15/2025,6:52:00 PM,1/15/2025,11:38:00 PM,Closed,Low,Payment,PAY_402
1101,1/16/2025,8:46:00 AM,,,In Progress,Medium,Reporting,REP_408
1102,1/16/2025,10:22:00 AM,1/16/2025,4:49:00 PM,Closed,Medium,Payment,PAY_409
1103,1/16/2025,11:52:00 AM,,,Open,Medium,Payment,PAY_409
1104,1/16/2025,1:04:00 PM,,,In Progress,Medium,Network,NET_502
1105,1/16/2025,2:41:00 PM,,,In Progress,Medium,Login,AUTH_401
1106,1/16/2025,2:54:00 PM,,,In Progress,Medium,Login,AUTH_500
1107,1/16/2025,3:20:00 PM,1/16/2025,5:29:00 PM,Closed,High,Payment,PAY_500
1108,1/16/2025,4:45:00 PM,1/16/2025,9:16:00 PM,Closed,Medium,Network,NET_500
1109,1/17/2025,8:04:00 AM,1/17/2025,4:44:00 PM,Closed,Low,Login,AUTH_401
1110,1/17/2025,9:04:00 AM,,,Open,Medium,Network,NET_502
1111,1/17/2025,9:58:00 AM,1/17/2025,6:14:00 PM,Closed,Low,Account,ACC_500
1112,1/17/2025,10:25:00 AM,,,Open,Low,General,GEN_100
1113,1/17/2025,10:56:00 AM,1/17/2025,11:14:00 AM,Closed,High,Login,AUTH_401
1114,1/17/2025,11:43:00 AM,,,In Progress,Medium,General,GEN_500
1115,1/17/2025,11:58:00 AM,,,In Progress,Medium,Payment,PAY_402
1116,1/17/2025,12:41:00 PM,,,In Progress,Low,Network,NET_503
1117,1/17/2025,2:13:00 PM,,,In Progress,Low,Payment,PAY_504
1118,1/18/2025,9:14:00 AM,,,In Progress,High,Payment,PAY_401
1119,1/18/2025,9:42:00 AM,,,Open,Medium,General,GEN_200
1120,1/18/2025,11:26:00 AM,1/18/2025,12:25:00 PM,Closed,Medium,Login,AUTH_403
1121,1/18/2025,11:48:00 AM,,,Open,Low,Account,ACC_400
1122,1/18/2025,3:14:00 PM,,,In Progress,Medium,Network,NET_429
1123,1/18/2025,5:37:00 PM,,,Open,Medium,General,GEN_300
1124,1/19/2025,9:50:00 AM,,,Open,High,Payment,PAY_409
1125,1/19/2025,7:02:00 PM,1/19/2025,10:46:00 PM,Closed,Medium,Payment,PAY_402
1126,1/20/2025,8:04:00 AM,1/20/2025,3:46:00 PM,Closed,Medium,Network,NET_429
1127,1/20/2025,8:50:00 AM,1/20/2025,11:05:00 AM,Closed,High,General,GEN_200
1128,1/20/2025,9:00:00 AM,1/20/2025,7:32:00 PM,Closed,Low,Payment,PAY_400
1129,1/20/2025,2:42:00 PM,1/20/2025,7:54:00 PM,Closed,Low,Login,AUTH_429
1130,1/20/2025,2:44:00 PM,,,In Progress,Medium,Payment,PAY_401
1131,1/20/2025,3:45:00 PM,1/20/2025,6:48:00 PM,Closed,Medium,General,GEN_200
1132,1/20/2025,4:32:00 PM,1/20/2025,7:17:00 PM,Closed,High,Payment,PAY_502
1133,1/20/2025,4:53:00 PM,1/20/2025,5:45:00 PM,Closed,High,General,GEN_300
1134,1/20/2025,6:03:00 PM,1/20/2025,6:45:00 PM,Closed,High,Login,AUTH_403
1135,1/20/2025,6:33:00 PM,,,Open,Low,Network,NET_502
1136,1/20/2025,7:11:00 PM,,,In Progress,Medium,Payment,PAY_401
